Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0011B-36R-7, 42.0 cm",NULL,NULL,641.275,641.275,641.275,641.275,"C0011B-36R-7, 43.0 cm",NULL,NULL,641.285,641.285,641.285,641.285,"C0011B-36R-7 W, 42.0--43.0 cm",CKY000000000000325410,PP,NULL,7,andre322,NULL,CKY,2009-09-16T12:54:42Z,NULL,176,glass beaker,5.987,2.646,9.0622,4.2932,3.0752,176,glass beaker,5.987,2.646,8.368,3.6021,2.381,0.7194,0.7025,0.9447,1.6472,0.9561,0.0252,0.0114,2.3558,0.2339,0.3054,1.8669,1.4302,2.4937,0.4265,0.7436,andre322,2009-09-17T14:56:56Z
"C0011B-37R-1, 19.0 cm",NULL,NULL,643.678,643.69,643.678,643.69,"C0011B-37R-1, 20.0 cm",NULL,NULL,643.687,643.7,643.687,643.7,"C0011B-37R-1 W, 19.0--20.0 cm",CKY000000000000326410,PP,NULL,5,andre322,NULL,CKY,2009-09-16T13:23:41Z,NULL,182,glass beaker,6.112,2.748,10.2026,4.8507,4.0906,182,glass beaker,6.112,2.748,9.3701,4.0218,3.2581,0.8627,0.8425,1.2602,2.1027,1.2738,0.0302,0.0136,3.2279,0.2109,0.2673,1.9454,1.5351,2.5614,0.4007,0.6685,fuway,2010-08-17T03:19:03Z
"C0011B-37R-1, 109.0 cm",NULL,NULL,644.521,644.59,644.521,644.59,"C0011B-37R-1, 110.0 cm",NULL,NULL,644.53,644.6,644.53,644.6,"C0011B-37R-1 WR, 109.0--110.0 cm",CKY000000000000326510,PP,NULL,7,marta322,NULL,CKY,2009-09-16T13:25:36Z,NULL,190,glass beaker,6.059,2.734,10.1636,4.9077,4.1046,190,glass beaker,6.059,2.734,9.1747,3.9231,3.1157,1.0248,1.0008,1.1729,2.1737,1.1891,0.0359,0.0162,3.0798,0.2497,0.3327,1.8883,1.4168,2.6258,0.4604,0.8533,fuway,2010-08-17T03:19:04Z
"C0011B-37R-2, 50.0 cm",NULL,NULL,645.176,645.29,645.176,645.29,"C0011B-37R-2, 53.0 cm",NULL,NULL,645.204,645.32,645.204,645.32,"C0011B-37R-2 WR, 50.0--53.0 cm",CKY000000000000305910,PP,NULL,5,brandon322,NULL,CKY,2009-09-16T04:18:05Z,NULL,205,glass beaker,6.081,2.75,9.2774,4.3621,3.1964,205,glass beaker,6.081,2.75,8.5991,3.6868,2.5181,0.7029,0.6864,0.9257,1.6121,0.9368,0.0246,0.0111,2.4935,0.2199,0.2819,1.9828,1.5467,2.6936,0.4258,0.7415,fuway,2010-08-17T03:19:04Z
"C0011B-37R-3, 25.0 cm",NULL,NULL,645.438,645.57,645.438,645.57,"C0011B-37R-3, 26.0 cm",NULL,NULL,645.448,645.58,645.448,645.58,"C0011B-37R-3 W, 25.0--26.0 cm",CKY000000000000328110,PP,NULL,7,glenn322,NULL,CKY,2009-09-16T14:00:29Z,NULL,149,glass beaker,6.07,2.715,9.6289,5.0739,3.5589,149,glass beaker,6.07,2.715,8.0894,3.5411,2.0194,1.5953,1.5579,0.801,2.3589,0.8261,0.0558,0.0251,1.9636,0.4483,0.8124,1.5087,0.8324,2.4514,0.6604,1.9449,fuway,2010-08-17T03:18:59Z
"C0011B-37R-3, 102.0 cm",NULL,NULL,646.159,646.34,646.159,646.34,"C0011B-37R-3, 103.0 cm",NULL,NULL,646.169,646.35,646.169,646.35,"C0011B-37R-3 W, 102.0--103.0 cm",CKY000000000000328210,PP,NULL,7,glenn322,NULL,CKY,2009-09-16T14:00:29Z,NULL,123,glass beaker,6.057,2.719,9.565,5.112,3.508,123,glass beaker,6.057,2.719,8.7427,4.2933,2.6857,0.8521,0.8321,1.5609,2.393,1.5743,0.0298,0.0134,2.6559,0.2429,0.3208,1.4659,1.1099,1.7015,0.3477,0.5331,fuway,2010-08-17T03:18:55Z
"C0011B-37R-4, 9.0 cm",NULL,NULL,646.609,646.82,646.609,646.82,"C0011B-37R-4, 11.0 cm",NULL,NULL,646.628,646.84,646.628,646.84,"C0011B-37R-4 WR, 9.0--11.0 cm",CKY000000000000311010,PP,NULL,5,brandon322,NULL,CKY,2009-09-16T06:50:59Z,NULL,425,glass beaker,6.256,2.793,10.1456,4.7422,3.8896,425,glass beaker,6.256,2.793,9.3706,3.9706,3.1146,0.8031,0.7843,1.1649,1.9492,1.1776,0.0281,0.0127,3.0865,0.2065,0.2602,1.9955,1.5835,2.6496,0.4024,0.6733,matt322,2009-09-17T14:44:47Z
"C0011B-37R-4, 99.0 cm",NULL,NULL,647.452,647.72,647.452,647.72,"C0011B-37R-4, 100.0 cm",NULL,NULL,647.461,647.73,647.461,647.73,"C0011B-37R-4 W, 99.0--100.0 cm",CKY000000000000330210,PP,NULL,7,glenn322,NULL,CKY,2009-09-16T14:30:05Z,NULL,22,glass beaker,4.596,2.027,7.5921,3.4777,2.9961,22,glass beaker,4.596,2.027,7.0792,2.9671,2.4832,0.5315,0.519,0.9317,1.4507,0.9401,0.0186,0.0084,2.4646,0.1774,0.2157,2.0653,1.6989,2.6453,0.3578,0.557,yohei322,2009-09-18T02:30:38Z
"C0011B-37R-5, 25.0 cm",NULL,NULL,648.084,648.395,648.084,648.395,"C0011B-37R-5, 26.0 cm",NULL,NULL,648.093,648.405,648.093,648.405,"C0011B-37R-5 W, 25.0--26.0 cm",CKY000000000000334410,PP,NULL,5,glenn322,NULL,CKY,2009-09-16T15:05:58Z,NULL,150,glass beaker,6.106,2.772,9.0984,4.2738,2.9924,150,glass beaker,6.106,2.772,8.4129,3.5912,2.3069,0.7104,0.6938,0.808,1.5018,0.8192,0.0249,0.0112,2.282,0.2374,0.3113,1.9925,1.5195,2.8243,0.462,0.8587,fuway,2010-08-17T03:18:59Z
"C0011B-37R-5, 98.0 cm",NULL,NULL,648.767,649.125,648.767,649.125,"C0011B-37R-5, 99.0 cm",NULL,NULL,648.777,649.135,648.777,649.135,"C0011B-37R-5 W, 98.0--99.0 cm",CKY000000000000334510,PP,NULL,5,glenn322,NULL,CKY,2009-09-16T15:05:58Z,NULL,206,glass beaker,6.012,2.707,8.2864,3.9354,2.2744,206,glass beaker,6.012,2.707,7.7009,3.3524,1.6889,0.6067,0.5925,0.6359,1.2284,0.6454,0.0212,0.0095,1.6677,0.2668,0.3638,1.8515,1.3576,2.6226,0.4823,0.9318,fuway,2010-08-17T03:19:04Z
"C0011B-37R-6, 25.0 cm",NULL,NULL,649.404,649.805,649.404,649.805,"C0011B-37R-6, 26.0 cm",NULL,NULL,649.414,649.815,649.414,649.815,"C0011B-37R-6 W, 25.0--26.0 cm",CKY000000000000336010,PP,NULL,5,glenn322,NULL,CKY,2009-09-16T15:45:03Z,NULL,142,glass beaker,6.092,2.746,8.9135,4.1252,2.8215,142,glass beaker,6.092,2.746,8.2663,3.4808,2.1743,0.6707,0.655,0.7242,1.3792,0.7348,0.0235,0.0106,2.1508,0.2377,0.3118,2.0458,1.5595,2.9699,0.4749,0.9044,fuway,2010-08-17T03:18:59Z
"C0011B-37R-6, 100.0 cm",NULL,NULL,650.107,650.555,650.107,650.555,"C0011B-37R-6, 101.0 cm",NULL,NULL,650.116,650.565,650.116,650.565,"C0011B-37R-6 W, 100.0--101.0 cm",CKY000000000000336110,PP,NULL,5,glenn322,NULL,CKY,2009-09-16T15:45:03Z,NULL,198,glass beaker,6.066,2.761,8.5251,3.9907,2.4591,198,glass beaker,6.066,2.761,7.969,3.437,1.903,0.5763,0.5628,0.6669,1.2297,0.676,0.0202,0.0091,1.8828,0.2344,0.3061,1.9998,1.5311,2.8232,0.4577,0.8439,fuway,2010-08-17T03:19:04Z
"C0011B-37R-7, 33.0 cm",NULL,NULL,650.804,651.3,650.804,651.3,"C0011B-37R-7, 35.0 cm",NULL,NULL,650.823,651.32,650.823,651.32,"C0011B-37R-7 WR, 33.0--35.0 cm",CKY000000000000306710,PP,NULL,5,brandon322,NULL,CKY,2009-09-16T04:25:40Z,NULL,138,glass beaker,5.973,2.69,9.1361,4.2799,3.1631,138,glass beaker,5.973,2.69,8.4411,3.588,2.4681,0.7202,0.7033,0.8866,1.5899,0.898,0.0252,0.0114,2.4429,0.2277,0.2948,1.9895,1.5365,2.7554,0.4424,0.7933,matt322,2009-09-17T10:30:44Z
"C0011B-37R-7, 100.0 cm",NULL,NULL,651.432,651.97,651.432,651.97,"C0011B-37R-7, 101.0 cm",NULL,NULL,651.441,651.98,651.441,651.98,"C0011B-37R-7 W, 100.0--101.0 cm",CKY000000000000338710,PP,NULL,5,glenn322,NULL,CKY,2009-09-16T16:23:38Z,NULL,6,glass beaker,4.522,2.014,6.6728,3.1739,2.1508,6,glass beaker,4.522,2.014,6.1987,2.7018,1.6767,0.4913,0.4798,0.6801,1.1599,0.6878,0.0172,0.0077,1.6595,0.2284,0.2961,1.8543,1.4307,2.4401,0.4137,0.7055,yohei322,2009-09-18T02:30:38Z
"C0011B-37R-8, 20.0 cm",NULL,NULL,652.003,652.58,652.003,652.58,"C0011B-37R-8, 22.0 cm",NULL,NULL,652.021,652.6,652.021,652.6,"C0011B-37R-8 W, 20.0--22.0 cm",CKY000000000000340610,PP,NULL,10,andre322,NULL,CKY,2009-09-16T16:56:26Z,NULL,165,glass beaker,5.998,2.647,10.3193,4.9032,4.3213,165,glass beaker,5.998,2.647,9.3233,3.9116,3.3253,1.0321,1.0079,1.2483,2.2562,1.2646,0.0361,0.0163,3.2892,0.2388,0.3138,1.9153,1.4578,2.6349,0.4467,0.8074,yohei322,2009-09-18T02:30:38Z
"C0011B-37R-8, 109.0 cm",NULL,NULL,652.836,653.47,652.836,653.47,"C0011B-37R-8, 110.0 cm",NULL,NULL,652.846,653.48,652.846,653.48,"C0011B-37R-8 W, 109.0--110.0 cm",CKY000000000000340710,PP,NULL,10,andre322,NULL,CKY,2009-09-16T16:56:48Z,NULL,115,glass beaker,6.017,2.712,8.8026,4.1104,2.7856,115,glass beaker,6.017,2.712,8.2309,3.5412,2.2139,0.5924,0.5785,0.8199,1.3984,0.8292,0.0207,0.0093,2.1932,0.2127,0.2701,1.992,1.5684,2.675,0.4137,0.7056,yohei322,2009-09-18T02:30:38Z
"C0011B-38R-1, 72.0 cm",NULL,NULL,653.72,653.72,653.72,653.72,"C0011B-38R-1, 74.0 cm",NULL,NULL,653.74,653.74,653.74,653.74,"C0011B-38R-1 WR, 72.0--74.0 cm",CKY000000000000319910,PP,NULL,5,brandon322,NULL,CKY,2009-09-16T10:13:55Z,NULL,422,glass beaker,6.246,2.811,9.4011,4.4098,3.1551,422,glass beaker,6.246,2.811,8.7859,3.7972,2.5399,0.6375,0.6226,0.9762,1.5988,0.9862,0.0223,0.01,2.5176,0.2021,0.2532,1.9734,1.5747,2.579,0.3894,0.6378,matt322,2009-09-17T15:02:45Z
"C0011B-38R-1, 130.0 cm",NULL,NULL,654.3,654.3,654.3,654.3,"C0011B-38R-1, 131.0 cm",NULL,NULL,654.31,654.31,654.31,654.31,"C0011B-38R-1 W, 130.0--131.0 cm",CKY000000000000346110,PP,NULL,5,glenn322,NULL,CKY,2009-09-16T18:57:35Z,NULL,180,glass beaker,6.08,2.725,10.3263,4.8635,4.2463,180,glass beaker,6.08,2.725,9.4306,3.9717,3.3506,0.9282,0.9064,1.2321,2.1385,1.2467,0.0325,0.0146,3.3181,0.2186,0.2797,1.9856,1.5516,2.693,0.4238,0.7357,yohei322,2009-09-18T02:30:38Z
"C0011B-38R-2, 0.0 cm",NULL,NULL,654.39,654.39,654.39,654.39,"C0011B-38R-2, 2.0 cm",NULL,NULL,654.41,654.41,654.41,654.41,"C0011B-38R-2 WR, 0.0--2.0 cm",CKY000000000000312410,PP,NULL,5,shasa322,NULL,CKY,2009-09-16T07:07:42Z,NULL,434,glass beaker,6.224,2.858,9.8124,4.6371,3.5884,434,glass beaker,6.224,2.858,9.0899,3.9177,2.8659,0.7487,0.7312,1.0479,1.7791,1.0597,0.0262,0.0118,2.8397,0.2086,0.2637,2.017,1.5961,2.7099,0.411,0.6978,matt322,2009-09-17T14:44:47Z
"C0011B-38R-3, 25.0 cm",NULL,NULL,655.18,655.18,655.18,655.18,"C0011B-38R-3, 26.0 cm",NULL,NULL,655.19,655.19,655.19,655.19,"C0011B-38R-3 W, 25.0--26.0 cm",CKY000000000000346210,PP,NULL,5,glenn322,NULL,CKY,2009-09-16T18:58:36Z,NULL,196,glass beaker,6.099,2.757,9.4682,4.4384,3.3692,196,glass beaker,6.099,2.757,8.762,3.7353,2.663,0.7318,0.7146,0.9668,1.6814,0.9783,0.0256,0.0115,2.6374,0.2172,0.2775,2.0038,1.5686,2.728,0.425,0.7391,yohei322,2009-09-18T02:30:38Z
"C0011B-38R-3, 104.0 cm",NULL,NULL,655.97,655.97,655.97,655.97,"C0011B-38R-3, 105.0 cm",NULL,NULL,655.98,655.98,655.98,655.98,"C0011B-38R-3 W, 104.0--105.0 cm",CKY000000000000346310,PP,NULL,5,glenn322,NULL,CKY,2009-09-16T18:58:37Z,NULL,187,glass beaker,6.124,2.73,11.2702,5.2278,5.1462,187,glass beaker,6.124,2.73,10.2698,4.2318,4.1458,1.0367,1.0124,1.4854,2.4978,1.5018,0.0363,0.0164,4.1095,0.2014,0.2523,2.0603,1.6452,2.7666,0.4053,0.6816,yohei322,2009-09-18T02:30:38Z
"C0011B-38R-4, 64.0 cm",NULL,NULL,656.98,656.98,656.98,656.98,"C0011B-38R-4, 66.0 cm",NULL,NULL,657,657,657,657,"C0011B-38R-4 WR, 64.0--66.0 cm",CKY000000000000321810,PP,NULL,5,brandon322,NULL,CKY,2009-09-16T10:59:54Z,NULL,412,glass beaker,6.176,2.781,9.408,4.3653,3.232,412,glass beaker,6.176,2.781,8.8283,3.7882,2.6523,0.6007,0.5866,0.9977,1.5843,1.0072,0.021,0.0095,2.6313,0.1859,0.2283,2.04,1.6609,2.6374,0.3703,0.588,fuway,2010-08-17T03:19:05Z
"C0011B-38R-4, 136.0 cm",NULL,NULL,657.7,657.7,657.7,657.7,"C0011B-38R-4, 137.0 cm",NULL,NULL,657.71,657.71,657.71,657.71,"C0011B-38R-4 W, 136.0--137.0 cm",CKY000000000000348510,PP,NULL,5,matt322,NULL,CKY,2009-09-16T20:03:24Z,NULL,443,glass beaker,6.205,2.858,9.218,4.2964,3.013,443,glass beaker,6.205,2.858,8.5907,3.6718,2.3857,0.6501,0.6349,0.8035,1.4384,0.8138,0.0228,0.0103,2.3629,0.2158,0.2751,2.0947,1.6427,2.9408,0.4414,0.7902,fuway,2010-08-17T03:19:09Z
"C0011B-38R-5, 24.0 cm",NULL,NULL,658,658,658,658,"C0011B-38R-5, 26.0 cm",NULL,NULL,658.02,658.02,658.02,658.02,"C0011B-38R-5 W, 24.0--26.0 cm",CKY000000000000349910,PP,NULL,5,glenn322,NULL,CKY,2009-09-16T20:52:53Z,NULL,167,glass beaker,6.072,2.736,10.2419,4.7794,4.1699,167,glass beaker,6.072,2.736,9.3952,3.9364,3.3232,0.8774,0.8568,1.1866,2.0434,1.2004,0.0307,0.0138,3.2925,0.2104,0.2665,2.0407,1.6113,2.7747,0.4193,0.7221,fuway,2010-08-17T03:19:02Z
"C0011B-38R-5, 101.0 cm",NULL,NULL,658.77,658.77,658.77,658.77,"C0011B-38R-5, 102.0 cm",NULL,NULL,658.78,658.78,658.78,658.78,"C0011B-38R-5 W, 101.0--102.0 cm",CKY000000000000350010,PP,NULL,5,glenn322,NULL,CKY,2009-09-16T20:52:53Z,NULL,120,glass beaker,6.112,2.727,8.6929,4.0159,2.5809,120,glass beaker,6.112,2.727,8.1746,3.4999,2.0626,0.5371,0.5245,0.7644,1.2889,0.7729,0.0188,0.0085,2.0438,0.2081,0.2628,2.0024,1.5857,2.6737,0.4069,0.6862,fuway,2010-08-17T03:18:55Z
"C0011B-38R-6, 25.0 cm",NULL,NULL,659.415,659.415,659.415,659.415,"C0011B-38R-6, 26.0 cm",NULL,NULL,659.425,659.425,659.425,659.425,"C0011B-38R-6 W, 25.0--26.0 cm",CKY000000000000350610,PP,NULL,5,glenn322,NULL,CKY,2009-09-16T21:33:07Z,NULL,163,glass beaker,6.102,2.74,7.7327,3.559,1.6307,163,glass beaker,6.102,2.74,7.3798,3.2077,1.2778,0.3657,0.3571,0.4619,0.819,0.4677,0.0128,0.0058,1.265,0.2243,0.2891,1.9911,1.5446,2.7387,0.436,0.7731,fuway,2010-08-17T03:19:01Z
"C0011B-38R-6, 100.0 cm",NULL,NULL,660.165,660.165,660.165,660.165,"C0011B-38R-6, 101.0 cm",NULL,NULL,660.175,660.175,660.175,660.175,"C0011B-38R-6 W, 100.0--101.0 cm",CKY000000000000350710,PP,NULL,5,glenn322,NULL,CKY,2009-09-16T21:33:08Z,NULL,413,glass beaker,6.186,2.789,8.4044,3.9084,2.2184,413,glass beaker,6.186,2.789,7.9213,3.4274,1.7353,0.5006,0.4889,0.6305,1.1194,0.6384,0.0175,0.0079,1.7178,0.2257,0.2914,1.9818,1.5346,2.7245,0.4368,0.7754,fuway,2010-08-17T03:19:05Z
"C0011B-38R-7, 25.0 cm",NULL,NULL,660.815,660.815,660.815,660.815,"C0011B-38R-7, 26.0 cm",NULL,NULL,660.825,660.825,660.825,660.825,"C0011B-38R-7 W, 25.0--26.0 cm",CKY000000000000352310,PP,NULL,5,glenn322,NULL,CKY,2009-09-16T22:14:08Z,NULL,438,glass beaker,6.009,2.703,8.2026,3.8111,2.1936,438,glass beaker,6.009,2.703,7.7498,3.3603,1.7408,0.4692,0.4582,0.6499,1.1081,0.6573,0.0164,0.0074,1.7244,0.2139,0.2721,1.9796,1.5562,2.6533,0.4135,0.705,fuway,2010-08-17T03:19:08Z
"C0011B-38R-7, 92.0 cm",NULL,NULL,661.485,661.485,661.485,661.485,"C0011B-38R-7, 94.0 cm",NULL,NULL,661.505,661.505,661.505,661.505,"C0011B-38R-7 WR, 92.0--94.0 cm",CKY000000000000320710,PP,NULL,5,brandon322,NULL,CKY,2009-09-16T10:16:53Z,NULL,404,glass beaker,6.229,2.79,9.9705,4.6925,3.7415,404,glass beaker,6.229,2.79,9.2556,3.9808,3.0266,0.7408,0.7234,1.1791,1.9025,1.1908,0.0259,0.0117,3.0007,0.198,0.2469,1.9666,1.5772,2.5449,0.3802,0.6135,matt322,2009-09-17T15:02:45Z
"C0011B-38R-8, 24.0 cm",NULL,NULL,661.82,661.82,661.82,661.82,"C0011B-38R-8, 25.0 cm",NULL,NULL,661.83,661.83,661.83,661.83,"C0011B-38R-8 W, 24.0--25.0 cm",CKY000000000000352410,PP,NULL,5,glenn322,NULL,CKY,2009-09-16T22:24:14Z,NULL,9,glass beaker,4.583,2.037,7.8251,3.6096,3.2421,9,glass beaker,4.583,2.037,7.1782,2.9655,2.5952,0.6704,0.6547,0.9179,1.5726,0.9285,0.0235,0.0106,2.5717,0.2068,0.2607,2.0616,1.6353,2.8017,0.4163,0.7133,fuway,2010-08-17T03:18:51Z
"C0011B-39R-1, 23.5 cm",NULL,NULL,662.735,662.735,662.735,662.735,"C0011B-39R-1, 25.5 cm",NULL,NULL,662.755,662.755,662.755,662.755,"C0011B-39R-1 WR, 23.5--25.5 cm",CKY000000000000328710,PP,NULL,7,matt322,NULL,CKY,2009-09-16T14:14:00Z,NULL,118,glass beaker,6.013,2.703,10.2175,4.7752,4.2045,118,glass beaker,6.013,2.703,9.3922,3.9535,3.3792,0.8552,0.8352,1.237,2.0722,1.2505,0.0299,0.0135,3.3493,0.2034,0.2553,2.029,1.6163,2.7076,0.403,0.6752,fuway,2010-08-17T03:18:55Z
"C0011B-39R-1, 99.0 cm",NULL,NULL,663.49,663.49,663.49,663.49,"C0011B-39R-1, 100.0 cm",NULL,NULL,663.5,663.5,663.5,663.5,"C0011B-39R-1 W, 99.0--100.0 cm",CKY000000000000356910,PP,NULL,7,yohei322,NULL,CKY,2009-09-17T01:25:51Z,NULL,183,glass beaker,5.904,2.651,10.4256,4.9383,4.5216,183,glass beaker,5.904,2.651,9.4347,3.9518,3.5307,1.0268,1.0027,1.2846,2.2873,1.3008,0.0359,0.0162,3.4948,0.2271,0.2938,1.9768,1.5279,2.7205,0.4384,0.7806,yohei322,2009-09-18T03:02:26Z
"C0011B-39R-2, 25.0 cm",NULL,NULL,664.155,664.155,664.155,664.155,"C0011B-39R-2, 26.0 cm",NULL,NULL,664.165,664.165,664.165,664.165,"C0011B-39R-2 W, 25.0--26.0 cm",CKY000000000000357010,PP,NULL,7,yohei322,NULL,CKY,2009-09-17T01:25:51Z,NULL,407,glass beaker,6.251,2.813,10.2329,4.7965,3.9819,407,glass beaker,6.251,2.813,9.3577,3.9252,3.1067,0.9069,0.8856,1.0979,1.9835,1.1122,0.0317,0.0143,3.075,0.2278,0.2949,2.0075,1.5503,2.8008,0.4465,0.8066,fuway,2010-08-17T03:19:05Z
"C0011B-39R-2, 97.0 cm",NULL,NULL,664.875,664.875,664.875,664.875,"C0011B-39R-2, 98.0 cm",NULL,NULL,664.885,664.885,664.885,664.885,"C0011B-39R-2 W, 97.0--98.0 cm",CKY000000000000357110,PP,NULL,7,yohei322,NULL,CKY,2009-09-17T01:25:51Z,NULL,160,glass beaker,6.06,2.712,8.9978,4.2083,2.9378,160,glass beaker,6.06,2.712,8.3618,3.575,2.3018,0.6591,0.6437,0.8526,1.4963,0.863,0.0231,0.0104,2.2787,0.2244,0.2892,1.9634,1.5229,2.6726,0.4302,0.755,yohei322,2009-09-18T03:02:27Z
"C0011B-39R-3, 25.0 cm",NULL,NULL,665.565,665.565,665.565,665.565,"C0011B-39R-3, 26.0 cm",NULL,NULL,665.575,665.575,665.575,665.575,"C0011B-39R-3 W, 25.0--26.0 cm",CKY000000000000357510,PP,NULL,7,yohei322,NULL,CKY,2009-09-17T01:29:04Z,NULL,15,glass beaker,4.559,2.112,8.272,3.9551,3.713,15,glass beaker,4.559,2.112,7.4489,3.1356,2.8899,0.853,0.833,1.0101,1.8431,1.0236,0.0299,0.0135,2.86,0.2297,0.2983,2.0145,1.5517,2.8314,0.452,0.8247,fuway,2010-08-17T03:18:52Z
"C0011B-39R-3, 99.0 cm",NULL,NULL,666.305,666.305,666.305,666.305,"C0011B-39R-3, 100.0 cm",NULL,NULL,666.315,666.315,666.315,666.315,"C0011B-39R-3 W, 99.0--100.0 cm",CKY000000000000357610,PP,NULL,7,yohei322,NULL,CKY,2009-09-17T01:29:04Z,NULL,169,glass beaker,6.052,2.764,9.4994,4.4635,3.4474,169,glass beaker,6.052,2.764,8.7822,3.7494,2.7302,0.7432,0.7258,0.9737,1.6995,0.9854,0.026,0.0117,2.7042,0.2156,0.2748,2.0285,1.5912,2.7772,0.4271,0.7454,fuway,2010-08-17T03:19:02Z
"C0011B-39R-4, 50.0 cm",NULL,NULL,667.235,667.235,667.235,667.235,"C0011B-39R-4, 52.0 cm",NULL,NULL,667.255,667.255,667.255,667.255,"C0011B-39R-4 WR, 50.0--52.0 cm",CKY000000000000323310,PP,NULL,5,katerina322,NULL,CKY,2009-09-16T11:22:47Z,NULL,156,glass beaker,5.934,2.731,10.2572,5.4616,4.3232,156,glass beaker,5.934,2.731,9.2484,4.4572,3.3144,1.0454,1.0209,1.7097,2.7306,1.7262,0.0366,0.0165,3.2778,0.2418,0.3189,1.5832,1.2004,1.9172,0.3739,0.5971,fuway,2010-08-17T03:19:00Z
"C0011B-39R-5, 25.0 cm",NULL,NULL,667.575,667.575,667.575,667.575,"C0011B-39R-5, 26.0 cm",NULL,NULL,667.585,667.585,667.585,667.585,"C0011B-39R-5 W, 25.0--26.0 cm",CKY000000000000357710,PP,NULL,7,yohei322,NULL,CKY,2009-09-17T01:35:40Z,NULL,423,glass beaker,6.226,2.811,10.4081,4.9401,4.1821,423,glass beaker,6.226,2.811,9.5322,4.068,3.3062,0.9077,0.8864,1.2427,2.1291,1.257,0.0318,0.0143,3.2744,0.217,0.2772,1.9643,1.5379,2.6349,0.4163,0.7133,matt322,2009-09-18T04:59:09Z
"C0011B-39R-5, 108.0 cm",NULL,NULL,668.405,668.405,668.405,668.405,"C0011B-39R-5, 110.0 cm",NULL,NULL,668.425,668.425,668.425,668.425,"C0011B-39R-5 WR, 108.0--110.0 cm",CKY000000000000330810,PP,NULL,7,matt322,NULL,CKY,2009-09-16T14:36:52Z,NULL,185,glass beaker,5.859,2.683,10.9759,5.1322,5.1169,185,glass beaker,5.859,2.683,10.0077,4.1682,4.1487,1.0033,0.9798,1.4694,2.4492,1.4852,0.0351,0.0158,4.1136,0.1961,0.2439,2.0892,1.6796,2.7995,0.4,0.6668,fuway,2010-08-17T03:19:03Z
"C0011B-39R-6, 25.0 cm",NULL,NULL,668.995,668.995,668.995,668.995,"C0011B-39R-6, 27.0 cm",NULL,NULL,669.015,669.015,669.015,669.015,"C0011B-39R-6 WR, 25.0--27.0 cm",CKY000000000000332710,PP,NULL,7,matt322,NULL,CKY,2009-09-16T14:56:58Z,NULL,400,glass beaker,6.366,2.882,10.9269,5.2068,4.5609,400,glass beaker,6.366,2.882,9.9059,4.1903,3.5399,1.058,1.0332,1.2916,2.3248,1.3083,0.037,0.0167,3.5029,0.232,0.302,1.9618,1.5068,2.7121,0.4444,0.7999,fuway,2010-08-17T03:19:04Z
"C0011B-39R-6, 100.0 cm",NULL,NULL,669.745,669.745,669.745,669.745,"C0011B-39R-6, 101.0 cm",NULL,NULL,669.755,669.755,669.755,669.755,"C0011B-39R-6 W, 100.0--101.0 cm",CKY000000000000361910,PP,NULL,7,yohei322,NULL,CKY,2009-09-17T02:25:00Z,NULL,141,glass beaker,6.017,2.713,10.4297,4.8808,4.4127,141,glass beaker,6.017,2.713,9.5075,3.9626,3.4905,0.9556,0.9332,1.2346,2.1678,1.2496,0.0334,0.015,3.4571,0.2166,0.2764,2.0356,1.5948,2.8002,0.4305,0.7559,matt322,2009-09-18T04:59:09Z
