leg,site,hole,core,section,sample_depth,grain_density,porosity,method
315,C0001,F,NULL,NULL,183.9035,2.789719,0.4956267,NULL
315,C0001,F,NULL,NULL,184.5805,2.766884,0.466903,NULL
315,C0001,F,NULL,NULL,185.2895,2.738569,0.5667426,NULL
315,C0001,F,NULL,NULL,185.9665,2.823088,0.5686512,NULL
315,C0001,F,NULL,NULL,186.5985,2.751574,0.5630439,NULL
315,C0001,F,NULL,NULL,187.8715,2.599305,0.537944,NULL
315,C0001,F,NULL,NULL,189.485,2.712723,0.5464423,NULL
315,C0001,F,NULL,NULL,190.445,2.855701,0.5582348,NULL
315,C0001,F,NULL,NULL,192.31,2.78304,0.5299321,NULL
315,C0001,F,NULL,NULL,193.07,2.7385,0.5403,NULL
315,C0001,F,NULL,NULL,193.25,2.731681,0.5395927,NULL
315,C0001,F,NULL,NULL,193.6025,2.776549,0.5404886,NULL
315,C0001,F,NULL,NULL,194.475,2.784376,0.5507783,NULL
315,C0001,F,NULL,NULL,194.7525,2.878909,0.5611554,NULL
315,C0001,F,NULL,NULL,195.11,2.815529,0.5297457,NULL
315,C0001,F,NULL,NULL,196.858,2.854253,0.4781882,NULL
315,C0001,F,NULL,NULL,197.185,2.802499,0.4801803,NULL
315,C0001,F,NULL,NULL,197.408,2.729373,0.4657902,NULL
315,C0001,F,NULL,NULL,197.719,2.738651,0.4941074,NULL
315,C0001,F,NULL,NULL,198.327,2.88571,0.5271828,NULL
315,C0001,F,NULL,NULL,198.54,2.785383,0.4761792,NULL
315,C0001,F,NULL,NULL,199.096,2.762131,0.4796334,NULL
315,C0001,F,NULL,NULL,199.399,2.764067,0.6317407,NULL
315,C0001,F,NULL,NULL,199.835,2.72151,0.4686069,NULL
315,C0001,F,NULL,NULL,200.218,2.777559,0.4483301,NULL
315,C0001,F,NULL,NULL,201.6115,2.782381,0.4595942,NULL
315,C0001,F,NULL,NULL,202.0465,2.719788,0.4186294,NULL
315,C0001,F,NULL,NULL,202.3745,2.670384,0.4740255,NULL
315,C0001,F,NULL,NULL,202.677,2.650096,0.5004914,NULL
315,C0001,F,NULL,NULL,203.008,2.753535,0.4727987,NULL
315,C0001,F,NULL,NULL,203.5655,2.726885,0.5350334,NULL
315,C0001,F,NULL,NULL,203.882,2.692468,0.4894659,NULL
315,C0001,F,NULL,NULL,204.7325,2.720134,0.481401,NULL
315,C0001,F,NULL,NULL,205.252,2.634675,0.4391586,NULL
315,C0001,F,NULL,NULL,206.584,2.673827,0.4238787,NULL
315,C0001,F,NULL,NULL,207.41,2.695384,0.5976185,NULL
315,C0001,F,NULL,NULL,207.665,2.699655,0.6232152,NULL
315,C0001,F,NULL,NULL,209.754,2.650587,0.619657,NULL
315,C0001,F,NULL,NULL,210.196,2.878963,0.6453341,NULL
315,C0001,F,NULL,NULL,210.6665,2.624076,0.5567106,NULL
315,C0001,F,NULL,NULL,210.843,2.676262,0.5886536,NULL
315,C0001,F,NULL,NULL,211.137,2.721642,0.5671976,NULL
315,C0001,F,NULL,NULL,211.701,2.688561,0.5668893,NULL
315,C0001,F,NULL,NULL,212.358,2.696919,0.5916105,NULL
315,C0001,F,NULL,NULL,212.9665,2.679402,0.5854079,NULL
315,C0001,F,NULL,NULL,213.516,2.722399,0.5889306,NULL
315,C0001,F,NULL,NULL,214.208,2.746858,0.6010663,NULL
315,C0001,F,NULL,NULL,215.006,2.722072,0.6000591,NULL
315,C0001,F,NULL,NULL,215.5135,2.689324,0.5812087,NULL
315,C0001,F,NULL,NULL,216.0995,2.679217,0.618286,NULL
315,C0001,F,NULL,NULL,216.8465,2.611595,0.5850681,NULL
315,C0001,F,NULL,NULL,216.8925,2.736632,0.6077204,NULL
315,C0001,F,NULL,NULL,216.985,2.751003,0.5621259,NULL
315,C0001,F,NULL,NULL,217.257,2.624755,0.5765798,NULL
315,C0001,F,NULL,NULL,218.0225,2.741892,0.604987,NULL
315,C0001,F,NULL,NULL,218.5675,2.795304,0.587805,NULL
315,C0001,F,NULL,NULL,219.086,2.754459,0.66349,NULL
315,C0001,F,NULL,NULL,219.833,2.728013,0.6916276,NULL
315,C0001,F,NULL,NULL,220.535,2.750839,0.65582,NULL
315,C0001,F,NULL,NULL,221.34,2.701795,0.6168798,NULL
315,C0001,F,NULL,NULL,221.72,2.885597,0.622229,NULL
315,C0001,F,NULL,NULL,222.42,2.71202,0.5853284,NULL
315,C0001,F,NULL,NULL,222.82,2.715573,0.5857664,NULL
315,C0001,F,NULL,NULL,223.065,2.675129,0.5952593,NULL
315,C0001,F,NULL,NULL,223.625,2.791938,0.5975527,NULL
315,C0001,F,NULL,NULL,224.515,2.715669,0.5848978,NULL
315,C0001,F,NULL,NULL,224.8975,2.758991,0.5794558,NULL
315,C0001,F,NULL,NULL,225.3575,2.862092,0.603341,NULL
315,C0001,F,NULL,NULL,226,2.684154,0.5869298,NULL
315,C0001,F,NULL,NULL,226.7065,2.793496,0.5684151,NULL
315,C0001,F,NULL,NULL,227.1935,2.679574,0.5504463,NULL
315,C0001,F,NULL,NULL,227.857,2.812573,0.5802033,NULL
315,C0001,F,NULL,NULL,228.0385,2.767894,0.5828768,NULL
315,C0001,F,NULL,NULL,228.3945,2.831233,0.5957976,NULL
315,C0001,F,NULL,NULL,229.2195,2.76318,0.5728735,NULL
315,C0001,F,NULL,NULL,230.064,2.766381,0.6391521,NULL
315,C0001,F,NULL,NULL,230.789,2.625223,0.6448228,NULL
