Top Mud depth below sea floor [m MSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Depth DSF, MSF, WSF and CSF-A [m]",Top Core depth (below sea floor) [m CSF-B],Bottom Mud depth below sea floor [m MSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core depth (below sea floor) [m CSF-B],Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,bulk CNS analysis::inorganic carbon content: carbonate analyzer [wt%]::number,bulk CNS analysis::CaCO3 content: from inorganic carbon content [wt%]::number,"bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
C0002N;910.500,910.5,910.5,910.5,C0002N;915.500,915.5,915.5,915.5,C0002N-12SMW W,CKY000000000005815900,CARB,NULL,2,fuway,">4mm, bulk, Shared w/PMAG, XRD, XRF",CKY,2014-01-13T17:17:49Z,1.7346,14.4544,0.037757336,2.943305228,hoshinoh,2014-01-09T11:37:21Z
C0002N;920.500,920.5,920.5,920.5,C0002N;925.500,925.5,925.5,925.5,C0002N-14SMW W,CKY000000000005816300,CARB,NULL,2,nishimuram,">4mm, bulk",CKY,2013-11-11T15:31:47Z,1.3525,11.2704,0.041478848,2.714377815,hoshinoh,2014-01-09T11:37:21Z
C0002N;920.500,920.5,920.5,920.5,C0002N;925.500,925.5,925.5,925.5,C0002N-14SMW W,CKY000000000005836800,CARB,NULL,2,hoshinoh,"1-4mm, bulk",CKY,2013-11-06T15:25:42Z,1.5933,13.277,0.063201423,3.01578798,hoshinoh,2014-01-09T11:37:21Z
C0002N;930.500,930.5,930.5,930.5,C0002N;935.500,935.5,935.5,935.5,C0002N-16SMW W,CKY000000000005810600,CARB,NULL,2,nishimuram,"1-4mm, bulk",CKY,2013-11-06T00:57:57Z,1.5803,13.1686,0.054483955,2.849721303,hoshinoh,2014-01-09T11:37:21Z
C0002N;930.500,930.5,930.5,930.5,C0002N;935.500,935.5,935.5,935.5,C0002N-16SMW W,CKY000000000005817400,CARB,NULL,2,sawadar,">4mm, bulk",CKY,2013-11-06T10:28:50Z,1.2158,10.1313,0.035605631,2.334299476,hoshinoh,2014-01-09T11:37:21Z
C0002N;940.500,940.5,940.5,940.5,C0002N;945.500,945.5,945.5,945.5,C0002N-18SMW W,CKY000000000005817800,CARB,NULL,2,sawadar,">4mm, bulk",CKY,2013-11-06T10:30:05Z,1.2733,10.6104,0.046093502,2.523799488,hoshinoh,2014-01-09T11:37:21Z
C0002N;940.500,940.5,940.5,940.5,C0002N;945.500,945.5,945.5,945.5,C0002N-18SMW W,CKY000000000005837200,CARB,NULL,2,hoshinoh,"1-4mm, bulk",CKY,2013-11-06T15:30:27Z,1.2225,10.1871,0.066382342,2.748574223,hoshinoh,2014-01-09T11:37:21Z
C0002N;950.500,950.5,950.5,950.5,C0002N;955.500,955.5,955.5,955.5,C0002N-20SMW W,CKY000000000005818200,CARB,NULL,2,fuway,">4mm, bulk, Shared w/PMAG, XRD, XRF",CKY,2014-01-13T17:18:38Z,0.6431,5.359,0.039039353,1.922767669,hoshinoh,2014-01-09T11:37:21Z
C0002N;950.500,950.5,950.5,950.5,C0002N;955.500,955.5,955.5,955.5,C0002N-20SMW W,CKY000000000005855300,CARB,NULL,2,hoshinoh,"1-4mm, bulk",CKY,2013-11-07T00:25:03Z,0.3974,3.3115,0.051825315,1.713547647,hoshinoh,2014-01-09T11:37:21Z
C0002N;960.500,960.5,960.5,960.5,C0002N;965.500,965.5,965.5,965.5,C0002N-22SMW W,CKY000000000005819500,CARB,NULL,2,sawadar,">4mm, bulk",CKY,2013-11-06T10:41:29Z,0.4164,3.4699,0.0427777,1.717538829,hoshinoh,2014-01-09T11:37:21Z
C0002N;960.500,960.5,960.5,960.5,C0002N;965.500,965.5,965.5,965.5,C0002N-22SMW W,CKY000000000005855700,CARB,NULL,2,hoshinoh,"1-4mm, bulk",CKY,2013-11-07T00:27:45Z,0.402,3.3499,0.053386479,1.747469412,hoshinoh,2014-01-09T11:37:21Z
C0002N;970.500,970.5,970.5,970.5,C0002N;975.500,975.5,975.5,975.5,C0002N-24SMW W,CKY000000000005819900,CARB,NULL,2,sawadar,">4mm, bulk",CKY,2013-11-06T10:42:32Z,0.421,3.5082,0.046346409,1.713402405,hoshinoh,2014-01-09T11:37:21Z
C0002N;970.500,970.5,970.5,970.5,C0002N;975.500,975.5,975.5,975.5,C0002N-24SMW W,CKY000000000005854900,CARB,NULL,2,hoshinoh,"1-4mm, bulk",CKY,2013-11-07T00:21:57Z,0.4885,4.0707,0.053913672,1.863252563,hoshinoh,2014-01-09T11:37:21Z
C0002N;980.500,980.5,980.5,980.5,C0002N;985.500,985.5,985.5,985.5,C0002N-26SMW W,CKY000000000005820300,CARB,NULL,2,sawadar,">4mm, bulk",CKY,2013-11-06T10:44:40Z,0.5092,4.2432,0.050903191,1.744775794,hoshinoh,2014-01-09T11:37:21Z
C0002N;980.500,980.5,980.5,980.5,C0002N;985.500,985.5,985.5,985.5,C0002N-26SMW W,CKY000000000005881100,CARB,NULL,2,arakawan348,"1-4mm, bulk",CKY,2013-11-07T20:49:45Z,0.534,4.4498,0.050264482,1.751525812,hoshinoh,2014-01-09T11:37:21Z
C0002N;990.500,990.5,990.5,990.5,C0002N;995.500,995.5,995.5,995.5,C0002N-28SMW W,CKY000000000005820700,CARB,NULL,2,sawadar,">4mm, bulk",CKY,2013-11-06T10:45:42Z,0.5172,4.3098,0.047897684,1.698867879,hoshinoh,2014-01-09T11:37:21Z
C0002N;990.500,990.5,990.5,990.5,C0002N;995.500,995.5,995.5,995.5,C0002N-28SMW W,CKY000000000005874300,CARB,NULL,2,hoshinoh,"1-4mm, bulk",CKY,2013-11-07T15:21:23Z,0.4892,4.0765,0.045471094,1.549211982,hoshinoh,2014-01-09T11:37:21Z
C0002N;1000.500,1000.5,1000.5,1000.5,C0002N;1005.500,1005.5,1005.5,1005.5,C0002N-30SMW W,CKY000000000005821100,CARB,NULL,2,sawadar,">4mm, bulk",CKY,2013-11-06T10:59:45Z,0.5229,4.3573,0.053273172,1.779482552,hoshinoh,2014-01-09T11:37:21Z
