Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp,Rock Eval; sample::HI: HC/TOC [permil]::number,Rock Eval; sample::MinC [wt%]::number,Rock Eval; sample::OI: CO2/TOC [permil]::number,Rock Eval; sample::OICO: CO/TOC [permil]::number,Rock Eval; sample::oxiMinC [wt%]::number,Rock Eval; sample::PC [wt%]::number,Rock Eval; sample::PI::number,Rock Eval; sample::pyroMinC [wt%]::number,Rock Eval; sample::RC [wt%]::number,Rock Eval; sample::RCCO [wt%]::number,Rock Eval; sample::RCCO2 [wt%]::number,Rock Eval; sample::S1 [permil]::number,Rock Eval; sample::S2 [permil]::number,Rock Eval; sample::S3 [permil]::number,Rock Eval; sample::S4CO2 [permil]::number,Rock Eval; sample::S3' [permil]::number,Rock Eval; sample::S3CO [permil]::number,Rock Eval; sample::S4CO [permil]::number,Rock Eval; sample::S3'CO [permil]::number,Rock Eval; sample::Tmax [degree C]::number,Rock Eval; sample::TOC [wt%]::number,Rock Eval; sample::TpkS2 [degree C]::number,Rock Eval; sample::registerer,Rock Eval; sample::registration time-stamp
"C0011B-26R-6, 6.0 cm",NULL,NULL,555.145,555.145,555.145,555.145,"C0011B-26R-6, 6.0 cm",NULL,NULL,555.145,555.145,555.145,555.145,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.051,0.425,miyabes,2009-10-02T10:35:36Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-27R-1, 22.0 cm",NULL,NULL,558.72,558.72,558.72,558.72,"C0011B-27R-1, 24.0 cm",NULL,NULL,558.74,558.74,558.74,558.74,"C0011B-27R-1 WR, 22.0--24.0 cm",CKY000000000000236110,CARB,NULL,10,fujikit,share with RE,CKY,2009-09-14T14:16:38Z,NULL,NULL,NULL,NULL,0.08372,0.70896,0.15483,9/21/2009,kuriharar,2009-10-02T01:37:58Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-27R-1, 23.0 cm",NULL,NULL,558.73,558.73,558.73,558.73,"C0011B-27R-1, 23.0 cm",NULL,NULL,558.73,558.73,558.73,558.73,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3725,3.104,miyabes,2009-10-02T10:35:36Z,NULL,NULL,NULL,NULL,NULL,NULL,21,0.27,303,34,0.05,0.04,0.03,0.22,0.25,0.04,0.21,0,0.06,0.88,7.55,8.1,0.1,0.91,0.1,424,0.29,463,miyabes,2009-10-08T12:54:17Z
"C0011B-27R-2, 48.0 cm",NULL,NULL,559.84,559.84,559.84,559.84,"C0011B-27R-2, 56.0 cm",NULL,NULL,559.92,559.92,559.92,559.92,"C0011B-27R-2 WR, 48.0--56.0 cm",CKY000000000000231310,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-14T11:35:40Z,NULL,NULL,NULL,NULL,0.08061,0.33859,0.08249,9/21/2009,kuriharar,2009-10-02T01:37:58Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-27R-2, 52.0 cm",NULL,NULL,559.88,559.88,559.88,559.88,"C0011B-27R-2, 52.0 cm",NULL,NULL,559.88,559.88,559.88,559.88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0367,0.3058,miyabes,2009-10-02T10:35:36Z,NULL,NULL,NULL,NULL,NULL,NULL,28,0.06,204,4,0.03,0.02,0.01,0.03,0.23,0.02,0.21,0,0.07,0.51,7.63,0.9,0.01,0.57,0.1,418,0.25,457,miyabes,2009-10-08T12:54:17Z
"C0011B-27R-3, 115.0 cm",NULL,NULL,561.07,561.07,561.07,561.07,"C0011B-27R-3, 117.0 cm",NULL,NULL,561.09,561.09,561.09,561.09,"C0011B-27R-3 WR, 115.0--117.0 cm",CKY000000000000237010,CARB,NULL,10,christine322,NULL,CKY,2009-09-14T14:23:41Z,NULL,NULL,NULL,NULL,0.08294,0.57562,0.20376,9/21/2009,kuriharar,2009-10-02T01:37:58Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-27R-3, 116.0 cm",NULL,NULL,561.08,561.08,561.08,561.08,"C0011B-27R-3, 116.0 cm",NULL,NULL,561.08,561.08,561.08,561.08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2352,1.9599,miyabes,2009-10-02T10:35:36Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-27R-4, 108.0 cm",NULL,NULL,562.375,562.375,562.375,562.375,"C0011B-27R-4, 110.0 cm",NULL,NULL,562.395,562.395,562.395,562.395,"C0011B-27R-4 W, 108.0--110.0 cm",CKY000000000000250910,CARB,NULL,3,hirokuni322,NULL,CKY,2009-09-14T21:45:11Z,NULL,NULL,NULL,NULL,0.0772,0.28659,0.17602,9/21/2009,kuriharar,2009-10-02T01:37:58Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-27R-4, 109.0 cm",NULL,NULL,562.385,562.385,562.385,562.385,"C0011B-27R-4, 109.0 cm",NULL,NULL,562.385,562.385,562.385,562.385,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.044,0.3667,miyabes,2009-10-02T10:35:36Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-27R-4, 138.0 cm",NULL,NULL,562.675,562.675,562.675,562.675,"C0011B-27R-4, 140.0 cm",NULL,NULL,562.695,562.695,562.695,562.695,"C0011B-27R-4 W, 138.0--140.0 cm",CKY000000000000251410,CARB,NULL,3,hirokuni322,NULL,CKY,2009-09-14T21:45:11Z,NULL,NULL,NULL,NULL,0.07634,0.73787,0.24302,9/21/2009,kuriharar,2009-10-02T01:37:58Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-27R-4, 139.0 cm",NULL,NULL,562.685,562.685,562.685,562.685,"C0011B-27R-4, 139.0 cm",NULL,NULL,562.685,562.685,562.685,562.685,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3655,3.0457,miyabes,2009-10-02T10:35:36Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-27R-5, 110.0 cm",NULL,NULL,563.805,563.805,563.805,563.805,"C0011B-27R-5, 112.0 cm",NULL,NULL,563.825,563.825,563.825,563.825,"C0011B-27R-5 WR, 110.0--112.0 cm",CKY000000000000238410,CARB,NULL,10,matt322,NULL,CKY,2009-09-14T14:39:57Z,NULL,NULL,NULL,NULL,0.07753,0.24298,0.07537,9/21/2009,kuriharar,2009-10-02T01:37:58Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-27R-5, 111.0 cm",NULL,NULL,563.815,563.815,563.815,563.815,"C0011B-27R-5, 111.0 cm",NULL,NULL,563.815,563.815,563.815,563.815,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0263,0.2192,miyabes,2009-10-02T10:35:37Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-28R-1, 17.0 cm",NULL,NULL,568.17,568.17,568.17,568.17,"C0011B-28R-1, 19.0 cm",NULL,NULL,568.19,568.19,568.19,568.19,"C0011B-28R-1 WR, 17.0--19.0 cm",CKY000000000000242010,CARB,NULL,10,fujikit,share with RE,CKY,2009-09-14T16:10:39Z,NULL,NULL,NULL,NULL,0.08304,0.53311,0.14377,9/21/2009,kuriharar,2009-10-02T01:37:58Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-28R-1, 18.0 cm",NULL,NULL,568.18,568.18,568.18,568.18,"C0011B-28R-1, 18.0 cm",NULL,NULL,568.18,568.18,568.18,568.18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1791,1.4924,miyabes,2009-10-02T10:35:37Z,NULL,NULL,NULL,NULL,NULL,NULL,33,0.12,357,24,0,0.03,0,0.12,0.18,0.03,0.15,0,0.07,0.75,5.6,4.2,0.05,0.66,0.1,421,0.21,460,miyabes,2009-10-08T12:54:17Z
"C0011B-28R-2, 0.0 cm",NULL,NULL,569.46,569.46,569.46,569.46,"C0011B-28R-2, 2.0 cm",NULL,NULL,569.48,569.48,569.48,569.48,"C0011B-28R-2 WR, 0.0--2.0 cm",CKY000000000000239310,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-14T14:46:39Z,NULL,NULL,NULL,NULL,0.08282,0.593,0.57729,9/21/2009,kuriharar,2009-10-02T01:37:58Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-28R-2, 1.0 cm",NULL,NULL,569.47,569.47,569.47,569.47,"C0011B-28R-2, 1.0 cm",NULL,NULL,569.47,569.47,569.47,569.47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2307,1.9224,miyabes,2009-10-02T10:35:37Z,NULL,NULL,NULL,NULL,NULL,NULL,28,0.16,308,28,0.01,0.03,0.02,0.15,0.22,0.03,0.19,0,0.07,0.77,6.81,5.5,0.07,0.74,0.2,422,0.25,461,miyabes,2009-10-08T12:54:17Z
"C0011B-28R-3, 18.0 cm",NULL,NULL,570.17,570.17,570.17,570.17,"C0011B-28R-3, 20.0 cm",NULL,NULL,570.19,570.19,570.19,570.19,"C0011B-28R-3 W, 18.0--20.0 cm",CKY000000000000252310,CARB,NULL,3,andre322,NULL,CKY,2009-09-14T22:19:15Z,NULL,NULL,NULL,NULL,0.08081,0.33202,0.14235,9/21/2009,kuriharar,2009-10-02T01:37:58Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-28R-3, 19.0 cm",NULL,NULL,570.18,570.18,570.18,570.18,"C0011B-28R-3, 19.0 cm",NULL,NULL,570.18,570.18,570.18,570.18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0292,0.2433,miyabes,2009-10-02T10:35:37Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-30R-1, 30.0 cm",NULL,NULL,580.7,580.7,580.7,580.7,"C0011B-30R-1, 32.0 cm",NULL,NULL,580.72,580.72,580.72,580.72,"C0011B-30R-1 WR, 30.0--32.0 cm",CKY000000000000262210,CARB,NULL,8,brandon322,NULL,CKY,2009-09-15T06:22:02Z,NULL,NULL,NULL,NULL,0.07981,0.3724,0.29015,9/21/2009,kuriharar,2009-10-02T01:37:58Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-30R-1, 31.0 cm",NULL,NULL,580.71,580.71,580.71,580.71,"C0011B-30R-1, 31.0 cm",NULL,NULL,580.71,580.71,580.71,580.71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1088,0.9066,miyabes,2009-10-02T10:35:37Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-30R-2, 0.0 cm",NULL,NULL,581.78,581.78,581.78,581.78,"C0011B-30R-2, 2.0 cm",NULL,NULL,581.8,581.8,581.8,581.8,"C0011B-30R-2 WR, 0.0--2.0 cm",CKY000000000000260010,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-15T04:45:26Z,NULL,NULL,NULL,NULL,0.08768,0.61734,0.12142,9/21/2009,kuriharar,2009-10-02T01:37:58Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-30R-2, 1.0 cm",NULL,NULL,581.79,581.79,581.79,581.79,"C0011B-30R-2, 1.0 cm",NULL,NULL,581.79,581.79,581.79,581.79,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2521,2.1007,miyabes,2009-10-02T10:35:37Z,NULL,NULL,NULL,NULL,NULL,NULL,30,0.2,330,33,0.04,0.04,0.01,0.15,0.23,0.03,0.2,0,0.08,0.89,7.45,5.6,0.09,0.67,0.1,423,0.27,462,miyabes,2009-10-08T12:54:17Z
"C0011B-31R-1, 106.0 cm",NULL,NULL,587.56,587.56,587.56,587.56,"C0011B-31R-1, 108.0 cm",NULL,NULL,587.58,587.58,587.58,587.58,"C0011B-31R-1 WR, 106.0--108.0 cm",CKY000000000000268910,CARB,NULL,8,fujikit,Corrected from 105-107 cm.,CKY,2009-09-15T10:16:22Z,NULL,NULL,NULL,NULL,0.08246,0.33679,0.16704,9/21/2009,kuriharar,2009-10-02T01:37:58Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-31R-1, 107.0 cm",NULL,NULL,587.57,587.57,587.57,587.57,"C0011B-31R-1, 107.0 cm",NULL,NULL,587.57,587.57,587.57,587.57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0453,0.3775,miyabes,2009-10-02T10:35:37Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-31R-1, 120.0 cm",NULL,NULL,587.7,587.7,587.7,587.7,"C0011B-31R-1, 122.0 cm",NULL,NULL,587.72,587.72,587.72,587.72,"C0011B-31R-1 W, 120.0--122.0 cm",CKY000000000000276810,CARB,NULL,2,fujikit,share with RE,CKY,2009-09-15T16:19:49Z,NULL,NULL,NULL,NULL,0.04451,7.57663,0.12375,9/21/2009,kuriharar,2009-10-02T01:37:59Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-31R-1, 121.0 cm",NULL,NULL,587.71,587.71,587.71,587.71,"C0011B-31R-1, 121.0 cm",NULL,NULL,587.71,587.71,587.71,587.71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.0759,58.9635,miyabes,2009-10-02T10:35:37Z,NULL,NULL,NULL,NULL,NULL,NULL,5,3.05,117,3,0.28,0.16,0,2.77,2.02,0.02,2,0,0.1,2.55,73.16,98.5,0.06,0.48,3.7,509,2.18,548,miyabes,2009-10-08T12:54:17Z
"C0011B-31R-2, 50.0 cm",NULL,NULL,588.33,588.33,588.33,588.33,"C0011B-31R-2, 52.0 cm",NULL,NULL,588.35,588.35,588.35,588.35,"C0011B-31R-2 WR, 50.0--52.0 cm",CKY000000000000263710,CARB,NULL,3,katerina322,NULL,CKY,2009-09-15T08:59:19Z,NULL,NULL,NULL,NULL,0.05743,0.3742,0.18544,9/21/2009,kuriharar,2009-10-02T01:37:58Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-31R-2, 51.0 cm",NULL,NULL,588.34,588.34,588.34,588.34,"C0011B-31R-2, 51.0 cm",NULL,NULL,588.34,588.34,588.34,588.34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1126,0.9383,miyabes,2009-10-02T10:35:37Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-31R-3, 77.0 cm",NULL,NULL,589.14,589.14,589.14,589.14,"C0011B-31R-3, 80.0 cm",NULL,NULL,589.17,589.17,589.17,589.17,"C0011B-31R-3 WR, 77.0--80.0 cm",CKY000000000000269810,CARB,NULL,8,brandon322,NULL,CKY,2009-09-15T10:20:08Z,NULL,NULL,NULL,NULL,0.0772,0.31922,0.0952,9/21/2009,kuriharar,2009-10-02T01:37:58Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-31R-3, 78.5 cm",NULL,NULL,589.155,589.155,589.155,589.155,"C0011B-31R-3, 78.5 cm",NULL,NULL,589.155,589.155,589.155,589.155,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.055,0.4583,miyabes,2009-10-02T10:35:37Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-32R-2, 95.0 cm",NULL,NULL,598.38,598.38,598.38,598.38,"C0011B-32R-2, 98.0 cm",NULL,NULL,598.41,598.41,598.41,598.41,"C0011B-32R-2 W, 95.0--98.0 cm",CKY000000000000283510,CARB,NULL,3,andre322,NULL,CKY,2009-09-15T20:24:14Z,NULL,NULL,NULL,NULL,0.0794,0.346,0.37163,9/21/2009,kuriharar,2009-10-02T01:37:59Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-32R-2, 96.5 cm",NULL,NULL,598.395,598.395,598.395,598.395,"C0011B-32R-2, 96.5 cm",NULL,NULL,598.395,598.395,598.395,598.395,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0872,0.7266,miyabes,2009-10-02T10:35:37Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-32R-5, 0.0 cm",NULL,NULL,601.39,601.39,601.39,601.39,"C0011B-32R-5, 2.0 cm",NULL,NULL,601.41,601.41,601.41,601.41,"C0011B-32R-5 WR, 0.0--2.0 cm",CKY000000000000271510,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-15T12:22:44Z,NULL,NULL,NULL,NULL,0.08157,0.39665,0.37802,9/21/2009,kuriharar,2009-10-02T01:37:59Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-32R-5, 1.0 cm",NULL,NULL,601.4,601.4,601.4,601.4,"C0011B-32R-5, 1.0 cm",NULL,NULL,601.4,601.4,601.4,601.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0961,0.8008,miyabes,2009-10-02T10:35:37Z,NULL,NULL,NULL,NULL,NULL,NULL,17,0.13,283,43,0.06,0.03,0.04,0.07,0.2,0.03,0.17,0,0.04,0.65,6.23,2.4,0.1,0.79,0.1,425,0.23,464,miyabes,2009-10-08T12:54:18Z
"C0011B-33R-1, 22.0 cm",NULL,NULL,605.72,605.72,605.72,605.72,"C0011B-33R-1, 24.0 cm",NULL,NULL,605.74,605.74,605.74,605.74,"C0011B-33R-1 WR, 22.0--24.0 cm",CKY000000000000282610,CARB,NULL,10,matt322,NULL,CKY,2009-09-15T19:17:02Z,NULL,NULL,NULL,NULL,0.07491,0.34549,0.20586,9/21/2009,kuriharar,2009-10-02T01:37:59Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-33R-1, 23.0 cm",NULL,NULL,605.73,605.73,605.73,605.73,"C0011B-33R-1, 23.0 cm",NULL,NULL,605.73,605.73,605.73,605.73,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0624,0.52,miyabes,2009-10-02T10:35:37Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-33R-2, 0.0 cm",NULL,NULL,605.94,605.94,605.94,605.94,"C0011B-33R-2, 3.0 cm",NULL,NULL,605.97,605.97,605.97,605.97,"C0011B-33R-2 WR, 0.0--3.0 cm",CKY000000000000275310,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-15T15:27:55Z,NULL,NULL,NULL,NULL,0.07657,0.36947,0.15257,9/21/2009,kuriharar,2009-10-02T01:37:59Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-33R-2, 1.5 cm",NULL,NULL,605.955,605.955,605.955,605.955,"C0011B-33R-2, 1.5 cm",NULL,NULL,605.955,605.955,605.955,605.955,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0549,0.4575,miyabes,2009-10-02T10:35:37Z,NULL,NULL,NULL,NULL,NULL,NULL,30,0.04,265,60,0,0.03,0,0.04,0.17,0.05,0.12,0,0.06,0.53,4.33,1.3,0.12,1.16,0.1,427,0.2,466,miyabes,2009-10-08T12:54:18Z
"C0011B-33R-3, 17.0 cm",NULL,NULL,606.65,606.65,606.65,606.65,"C0011B-33R-3, 19.0 cm",NULL,NULL,606.67,606.67,606.67,606.67,"C0011B-33R-3 W, 17.0--19.0 cm",CKY000000000000287910,CARB,NULL,3,hajime322,NULL,CKY,2009-09-15T22:26:38Z,NULL,NULL,NULL,NULL,0.03584,6.96021,0,9/21/2009,kuriharar,2009-10-02T01:37:59Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-33R-3, 18.0 cm",NULL,NULL,606.66,606.66,606.66,606.66,"C0011B-33R-3, 18.0 cm",NULL,NULL,606.66,606.66,606.66,606.66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.6884,55.7344,miyabes,2009-10-02T10:35:37Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-33R-3, 32.0 cm",NULL,NULL,606.8,606.8,606.8,606.8,"C0011B-33R-3, 34.0 cm",NULL,NULL,606.82,606.82,606.82,606.82,"C0011B-33R-3 W, 32.0--34.0 cm",CKY000000000000288210,CARB,NULL,3,hajime322,NULL,CKY,2009-09-15T22:26:38Z,NULL,NULL,NULL,NULL,0.06847,1.12232,0.44484,9/21/2009,kuriharar,2009-10-02T01:37:59Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-33R-3, 33.0 cm",NULL,NULL,606.81,606.81,606.81,606.81,"C0011B-33R-3, 33.0 cm",NULL,NULL,606.81,606.81,606.81,606.81,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.841,7.0081,miyabes,2009-10-02T10:35:37Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
