Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp,Rock Eval; sample::HI: HC/TOC [permil]::number,Rock Eval; sample::MinC [wt%]::number,Rock Eval; sample::OI: CO2/TOC [permil]::number,Rock Eval; sample::OICO: CO/TOC [permil]::number,Rock Eval; sample::oxiMinC [wt%]::number,Rock Eval; sample::PC [wt%]::number,Rock Eval; sample::PI::number,Rock Eval; sample::pyroMinC [wt%]::number,Rock Eval; sample::RC [wt%]::number,Rock Eval; sample::RCCO [wt%]::number,Rock Eval; sample::RCCO2 [wt%]::number,Rock Eval; sample::S1 [permil]::number,Rock Eval; sample::S2 [permil]::number,Rock Eval; sample::S3 [permil]::number,Rock Eval; sample::S4CO2 [permil]::number,Rock Eval; sample::S3' [permil]::number,Rock Eval; sample::S3CO [permil]::number,Rock Eval; sample::S4CO [permil]::number,Rock Eval; sample::S3'CO [permil]::number,Rock Eval; sample::Tmax [degree C]::number,Rock Eval; sample::TOC [wt%]::number,Rock Eval; sample::TpkS2 [degree C]::number,Rock Eval; sample::registerer,Rock Eval; sample::registration time-stamp
"C0012A-49R-3, 22.0 cm",NULL,500.535,500.535,500.535,500.535,"C0012A-49R-3, 24.0 cm",NULL,500.555,500.555,500.555,500.555,"C0012A-49R-3 WR, 22.0--24.0 cm",CKY000000000000925610,CARB,NULL,10,matt322,NULL,CKY,2009-10-01T15:48:19Z,NULL,NULL,NULL,NULL,0.03239,0.12309,0.11332,10/6/2009,miyabes,2009-10-08T10:49:52Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-49R-3, 23.0 cm",NULL,500.545,500.545,500.545,500.545,"C0012A-49R-3, 23.0 cm",NULL,500.545,500.545,500.545,500.545,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.01489581,0.124126786,miyabes,2009-10-08T11:29:49Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-50R-2, 40.0 cm",NULL,509.69,509.69,509.69,509.69,"C0012A-50R-2, 42.0 cm",NULL,509.71,509.71,509.71,509.71,"C0012A-50R-2 WR, 40.0--42.0 cm",CKY000000000000927610,CARB,NULL,3,katerina322,NULL,CKY,2009-10-01T17:12:09Z,NULL,NULL,NULL,NULL,0.01114,0.08631,0.02922,10/6/2009,miyabes,2009-10-08T10:49:52Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-50R-2, 41.0 cm",NULL,509.7,509.7,509.7,509.7,"C0012A-50R-2, 41.0 cm",NULL,509.7,509.7,509.7,509.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.01317572,0.109793273,miyabes,2009-10-08T11:29:49Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-50R-3, 50.0 cm",NULL,510.21,510.21,510.21,510.21,"C0012A-50R-3, 52.0 cm",NULL,510.23,510.23,510.23,510.23,"C0012A-50R-3 WR, 50.0--52.0 cm",CKY000000000000930110,CARB,NULL,10,matt322,NULL,CKY,2009-10-01T18:57:01Z,NULL,NULL,NULL,NULL,0.0283,0.69338,0.01195,10/6/2009,miyabes,2009-10-08T10:49:52Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-50R-3, 51.0 cm",NULL,510.22,510.22,510.22,510.22,"C0012A-50R-3, 51.0 cm",NULL,510.22,510.22,510.22,510.22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.585475312,4.878765779,miyabes,2009-10-08T11:29:49Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-51R-1, 10.0 cm",NULL,518.6,518.6,518.6,518.6,"C0012A-51R-1, 13.0 cm",NULL,518.63,518.63,518.63,518.63,"C0012A-51R-1 W, 10.0--13.0 cm",CKY000000000000935710,CARB,NULL,3,matt322,NULL,CKY,2009-10-01T23:09:26Z,NULL,NULL,NULL,NULL,0.02163,0.58462,0.00888,10/6/2009,miyabes,2009-10-08T10:49:52Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-51R-1, 11.5 cm",NULL,518.615,518.615,518.615,518.615,"C0012A-51R-1, 11.5 cm",NULL,518.615,518.615,518.615,518.615,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.517216515,4.309965217,miyabes,2009-10-08T11:29:49Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-52R-2, 32.0 cm",NULL,529.52,529.52,529.52,529.52,"C0012A-52R-2, 34.0 cm",NULL,529.54,529.54,529.54,529.54,"C0012A-52R-2 WR, 32.0--34.0 cm",CKY000000000000936510,CARB,NULL,3,brandon322,NULL,CKY,2009-10-01T23:43:23Z,NULL,NULL,NULL,NULL,0.01832,2.26012,0.00325,10/6/2009,miyabes,2009-10-08T10:49:52Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-52R-2, 33.0 cm",NULL,529.53,529.53,529.53,529.53,"C0012A-52R-2, 33.0 cm",NULL,529.53,529.53,529.53,529.53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.212517494,18.43690828,miyabes,2009-10-08T11:29:49Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-52R-3, 13.0 cm",NULL,529.67,529.67,529.67,529.67,"C0012A-52R-3, 18.0 cm",NULL,529.72,529.72,529.72,529.72,"C0012A-52R-3 W, 13.0--18.0 cm",CKY000000000000941110,CARB,NULL,8,brandon322,NULL,CKY,2009-10-02T02:37:55Z,NULL,NULL,NULL,NULL,0.02058,1.35409,0.00992,10/6/2009,miyabes,2009-10-08T10:49:52Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-52R-3, 15.5 cm",NULL,529.695,529.695,529.695,529.695,"C0012A-52R-3, 15.5 cm",NULL,529.695,529.695,529.695,529.695,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.267184702,10.55945012,miyabes,2009-10-08T11:29:49Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
